Category	Score	Query_File_Name	ClassificationGroup
EC	5.4158616065979	EC-1777N-Rpmet.txt	10
iPS	-6.3553338050842285	EC-1777N-Rpmet.txt	10
ES	-1.8910614252090454	EC-1777N-Rpmet.txt	10
Somatic	3.9656825065612793	EC-1777N-Rpmet.txt	10
EC	4.711956977844238	EC-NCCIT-A3.txt	10
iPS	-1.073896050453186	EC-NCCIT-A3.txt	10
ES	2.985481023788452	EC-NCCIT-A3.txt	10
Somatic	-5.39836311340332	EC-NCCIT-A3.txt	10
EC	7.313253879547119	EC-NCR-G2.txt	10
iPS	0.34195616841316223	EC-NCR-G2.txt	10
ES	3.81449818611145	EC-NCR-G2.txt	10
Somatic	-10.166177749633789	EC-NCR-G2.txt	10
EC	7.005930423736572	EC-NCR-G3.txt	10
iPS	0.5183442831039429	EC-NCR-G3.txt	10
ES	2.408820390701294	EC-NCR-G3.txt	10
Somatic	-8.66677474975586	EC-NCR-G3.txt	10
EC	6.804203987121582	EC-NCR-G4.txt	10
iPS	0.4749602675437927	EC-NCR-G4.txt	10
ES	3.2686872482299805	EC-NCR-G4.txt	10
Somatic	-9.261926651000977	EC-NCR-G4.txt	10
EC	7.889016628265381	EC-NEC14.txt	10
iPS	0.28081682324409485	EC-NEC14.txt	10
ES	3.5892961025238037	EC-NEC14.txt	10
Somatic	-10.4030122756958	EC-NEC14.txt	10
EC	7.342711925506592	EC-NEC8.txt	10
iPS	-0.6778467893600464	EC-NEC8.txt	10
ES	2.349715232849121	EC-NEC8.txt	10
Somatic	-7.809622287750244	EC-NEC8.txt	10
EC	4.75531530380249	EC-NTERA-2-cloneD1.txt	10
iPS	1.1269841194152832	EC-NTERA-2-cloneD1.txt	10
ES	5.328859806060791	EC-NTERA-2-cloneD1.txt	10
Somatic	-9.77918529510498	EC-NTERA-2-cloneD1.txt	10
EC	3.547386884689331	EC-PA-1.txt	10
iPS	-2.088582992553711	EC-PA-1.txt	10
ES	1.9676610231399536	EC-PA-1.txt	10
Somatic	-2.112391233444214	EC-PA-1.txt	10
